Iterations;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Agent 6;Agent 7;Agent 8;Agent 9;Agent 10
1;54.82190134087206;481.95342121429707;626.2163558332248;594.8160853271966;941.0848035529991;151.46275601637572;88.21147576686916;766.4751294388274;269.5626363566841;385.7261582662681
2;902.2057267688078;850.0205100553234;602.3741693544206;618.2167556621655;913.6356621193029;125.00092487252404;111.76941153805203;739.3633145104728;292.21558398115394;408.93683356078
3;484.6090543054306;481.7307956205645;618.3146800721663;601.71539080807;901.4242799039387;127.83037125851534;125.18676837004436;762.3237518227106;314.72274060832564;385.28056249511536
4;209.39531801370197;231.46654740158672;602.4192539631965;617.4986140299278;875.3919282814393;153.6173646071031;149.13747738626316;785.1460516510971;289.2807495287915;408.2068322195166
5;472.04724487697405;464.8189348286643;616.4126897765609;601.1205570414581;849.5841256559474;148.82702098655835;153.58047005998742;807.8018744078822;266.3543853990248;381.7719921434963
6;642.1499871380853;748.3614943827134;602.2661191433681;615.4774040300025;824.895001757799;153.7199738525061;149.0286004501117;833.4334667149574;240.05541859965976;408.8797183097907
7;484.0114484724456;514.8245379076565;615.1988455066104;602.3404053018288;832.905725850228;149.42864575944816;153.8610777921135;825.3348171451265;216.0827932904323;385.98038125438967
8;744.5600767046271;750.9885557350797;603.3835690287763;613.9720657561681;825.9604361502097;153.48324377135384;149.52463735214388;832.3975416045538;192.46407735407456;413.3334946551842
9;278.90860445051715;320.39476476980667;614.6389911385568;604.1331543620356;832.8623273711639;149.79069878391266;153.36417138608527;826.5301071013205;169.95704515394294;440.2423508018965
10;711.2713645307798;697.2588551865732;603.8589773640364;615.2960225404396;826.6878359865837;153.7002660521185;150.03797734949535;832.3216150162413;153.97074049219106;416.23583856708507
11;280.9599108344388;292.4308863681761;614.3397690070955;603.7494007579239;832.4035492268932;156.95738423445152;153.52142600834537;826.7421120143985;151.2577817974366;440.00652559914005
12;703.0639864504167;756.9723374100876;604.478668890726;613.7421695614654;827.2910175974274;153.5554981825328;150.37419671453247;831.8433839727894;154.38541150893425;416.94539226445744
13;293.3014401733677;303.85910929938666;613.2604500095152;605.0421523142269;832.0264247777719;156.47945946146768;153.78143932435012;827.4567303286261;151.4154215160463;440.964581269141
14;710.0151565921909;792.3315241022591;605.5583051293013;612.6931869814143;827.8480514365526;153.48396914012397;150.7256431955085;832.4385866647293;154.22830140763028;416.0359657227623
15;290.8907273266201;285.12263232144744;613.3557757686816;605.583053223988;832.0445940882763;156.43942139006379;153.85958811451246;828.0060952261173;151.30343127172227;440.2774812923002
16;757.4498091574825;682.5679059822079;604.8183297520523;612.6266629504902;827.7879805318187;153.15303806403008;150.9793763503321;831.9303415554338;154.43644071803732;416.28149990214416
17;284.650606514739;272.8282451704968;611.8525283382988;604.6694546296707;831.9012482669707;156.18786743879335;153.78174035063634;828.0402966418137;151.46884191303252;442.8533571197956
18;691.0299934110858;765.0224690604658;604.8556371762254;611.3848561603701;828.2449692907346;153.44350155012125;150.91270021043462;832.1538908214549;154.3385773940341;419.0588859454171
19;301.79558852103344;285.43893674129646;612.0189015204568;604.6186610005715;832.3764374610461;156.155562889351;153.7849494923226;828.2505707657804;151.46202728052455;443.8623066446465
20;715.4781913133405;750.1496023538137;604.8615764303917;607.4811977360936;828.3588131023686;152.9062110838013;150.89768724215315;832.6197246350026;154.250223421553;416.65822753917496
21;265.2068660348644;294.81349681447404;607.5647143839445;604.3076336906009;832.3947062600159;155.99540621528757;154.01517632151803;828.4257166994355;151.52254577064227;442.9755919445896
22;686.9374522931769;648.3726169454179;604.1186155631426;607.6578975561798;828.2771259543131;152.73665833095092;156.89834121939768;832.5650319195055;154.31886311671823;417.40482479940584
23;278.0403557142046;307.0555553195961;607.8018861724381;604.2186837727515;832.2728290973773;155.71656887098982;153.8537151702987;828.5418847260547;151.35958938784773;442.68273205161796
24;719.8554647675444;713.227879392699;604.233670850145;607.9598203371809;828.656646028127;152.4897909729187;156.77365906736586;832.3482475249361;154.305001225217;417.03042657822346
25;301.3240249102471;308.97969777222687;608.1420713027669;604.3896376188051;832.3755498964836;155.41598264393465;153.6225154058393;828.834901435856;151.05927978989612;440.69658567056456
26;153.6225154058393;553.3311449806152;604.0271563437587;608.3507019109443;828.6814978047039;152.22448627993447;156.59197827442776;832.5882636898814;154.02421344181874;413.7158440101506
27;286.9559113006979;311.99539924706903;608.6901159883881;611.5746609194888;832.3365375210698;156.84382538199864;183.79616277851423;828.9685291955141;156.76163278391215;389.72724698596545
