Iteration;Stock price;Amount available
0;27.7354221951;21724
1;35.9865062042;21538
2;46.4062805576;21439
3;58.2226232188;21379
4;76.8888248042;21298
5;94.2629453598;21270
6;102.4093944171;21236
7;131.4657304638;21144
8;158.7107815885;21108
9;207.6724953645;21021
10;253.9662014220;21009
11;321.3954900607;20988
12;420.0877598682;20967
13;358.5094758284;20967
14;308.2213555617;20967
15;278.9069039068;20967
16;306.7976294955;20984
17;264.2475866760;20984
18;290.7428539986;20990
19;232.2303317303;20990
20;255.7174523132;20995
21;293.1218609302;20986
22;350.3316818584;20985
23;293.5963317911;20985
24;253.2034139059;20985
25;191.1965263703;20985
26;204.0416386071;20990
27;169.2431788756;20990
28;186.1675033467;20992
29;180.9226075408;21012
30;205.6337175939;21013
31;257.3309591374;21004
32;309.0678877604;21003
33;264.8640100847;21003
34;227.6602915938;21003
35;194.6603245198;21003
36;214.1325864720;21012
37;192.0921357488;21012
38;225.7655017126;21013
39;267.4317622486;20997
40;319.9843041461;20994
41;404.6919814853;20989
42;317.0306001074;20989
43;269.0641723145;20989
44;231.3481314497;20989
45;192.4436023637;20989
46;209.5370102184;20991
47;176.2142226455;20991
48;141.1453517223;20991
49;157.4164425314;21074
50;188.3773647696;21072
51;214.1330892978;21067
52;288.1308434500;21066
53;241.3302951157;21066
54;210.8263556256;21066
55;177.3368725537;21066
56;173.1526578134;21067
57;151.3770455379;21067
58;133.0092211045;21067
59;170.3153085323;20979
60;204.3122569016;20978
61;248.8880006411;20977
62;212.6659727713;20977
63;181.9710281363;20977
64;155.6284017739;20977
65;133.8625718828;20977
66;121.7595100775;20977
67;106.8523727533;20977
68;117.0751271010;21004
69;129.7427818847;21091
70;175.4680730729;21088
71;191.3947726245;21087
72;162.0987686461;21087
73;138.5945051751;21087
74;123.0223307331;21087
75;105.1626714027;21087
76;94.7225802526;21087
77;104.1929747626;21179
78;129.8648280002;21132
79;165.1518341887;21054
80;199.6240860676;21050
81;172.6025469137;21050
82;189.5156070079;21117
83;167.5023049911;21117
84;132.6594471039;21117
85;113.4221178772;21117
86;96.9994422903;21117
87;128.3231752156;21027
88;151.7479619192;21026
89;161.7806915913;21040
90;197.6801851084;21039
91;182.4480393803;21039
92;200.7477368795;21040
93;169.2386049461;21040
94;144.3746959502;21040
95;123.4448841819;21040
96;110.7471281564;21040
97;94.6991759098;21040
98;104.3113460572;21077
99;115.9210266761;21120
100;144.9700954576;21119
101;123.5782372090;21119
102;106.1898289417;21119
103;100.9726926365;21119
104;79.8481429325;21119
105;87.9465794084;21147
106;110.9032550059;21081
107;93.9993456106;21081
108;113.8485327929;21060
109;141.2430241992;21022
110;121.7406953700;21022
111;124.9499197487;21040
112;158.4016457353;20963
113;121.7552750197;20963
114;111.9480559313;20963
115;127.8085302902;20943
116;156.5195799419;20916
117;140.8283260167;20916
118;154.7163289243;20919
119;187.0807810939;20904
120;160.6369489051;20904
121;176.7051464974;20928
122;205.4325087090;20924
123;180.7946848854;20924
124;151.4610352686;20924
125;129.4678332656;20924
126;148.2422026355;20995
127;119.4306633299;20995
128;124.4562385466;20996
129;137.5871294899;21011
130;123.3874225486;21011
